customer_id,ticket_text,category
CUST-00107,"Great experience overall, keep up the good work.",satisfied
CUST-00108,"Everything works great, no complaints at all this month.",satisfied
CUST-00109,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00110,"Great experience overall, keep up the good work.",satisfied
CUST-00111,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00112,I was overcharged again this month and nobody explained why.,billing
CUST-00113,"Everything works great, no complaints at all this month.",satisfied
CUST-00114,"Everything works great, no complaints at all this month.",satisfied
CUST-00115,"Everything works great, no complaints at all this month.",satisfied
CUST-00116,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00117,I was overcharged again this month and nobody explained why.,billing
CUST-00118,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00119,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00120,"Everything works great, no complaints at all this month.",satisfied
CUST-00121,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00122,Call quality has been terrible the past few weeks.,service_quality
CUST-00123,"Everything works great, no complaints at all this month.",satisfied
CUST-00124,I was overcharged again this month and nobody explained why.,billing
CUST-00125,I was overcharged again this month and nobody explained why.,billing
CUST-00126,Call quality has been terrible the past few weeks.,service_quality
CUST-00127,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00128,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00129,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00130,"Everything works great, no complaints at all this month.",satisfied
CUST-00131,The billing department never resolves my disputes.,billing
CUST-00132,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00133,Technician never showed up for the scheduled appointment.,service_quality
CUST-00134,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00135,The billing department never resolves my disputes.,billing
CUST-00136,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00137,Call quality has been terrible the past few weeks.,service_quality
CUST-00138,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00139,Call quality has been terrible the past few weeks.,service_quality
CUST-00140,The internet keeps disconnecting several times a day.,service_quality
CUST-00141,"Everything works great, no complaints at all this month.",satisfied
CUST-00142,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00143,My bill keeps increasing every month for no clear reason.,billing
CUST-00144,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00145,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00146,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00147,"Everything works great, no complaints at all this month.",satisfied
CUST-00148,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00149,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00150,I was overcharged again this month and nobody explained why.,billing
CUST-00151,Technician never showed up for the scheduled appointment.,service_quality
CUST-00152,"Great experience overall, keep up the good work.",satisfied
CUST-00153,The internet keeps disconnecting several times a day.,service_quality
CUST-00154,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00155,The internet keeps disconnecting several times a day.,service_quality
CUST-00156,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00157,My bill keeps increasing every month for no clear reason.,billing
CUST-00158,"Great experience overall, keep up the good work.",satisfied
CUST-00159,The internet keeps disconnecting several times a day.,service_quality
CUST-00160,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00161,"Great experience overall, keep up the good work.",satisfied
CUST-00162,Technician never showed up for the scheduled appointment.,service_quality
CUST-00163,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00164,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00165,I was overcharged again this month and nobody explained why.,billing
CUST-00166,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00167,Call quality has been terrible the past few weeks.,service_quality
CUST-00168,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00169,Call quality has been terrible the past few weeks.,service_quality
CUST-00170,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00171,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00172,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00173,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00174,"Great experience overall, keep up the good work.",satisfied
CUST-00175,My bill keeps increasing every month for no clear reason.,billing
CUST-00176,"Great experience overall, keep up the good work.",satisfied
CUST-00177,The billing department never resolves my disputes.,billing
CUST-00178,The internet keeps disconnecting several times a day.,service_quality
CUST-00179,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00180,"Great experience overall, keep up the good work.",satisfied
CUST-00181,"Everything works great, no complaints at all this month.",satisfied
CUST-00182,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00183,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00184,Technician never showed up for the scheduled appointment.,service_quality
CUST-00185,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00186,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00187,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00188,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00189,"Great experience overall, keep up the good work.",satisfied
CUST-00190,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00191,My bill keeps increasing every month for no clear reason.,billing
CUST-00192,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00193,Technician never showed up for the scheduled appointment.,service_quality
CUST-00194,The billing department never resolves my disputes.,billing
CUST-00195,I was overcharged again this month and nobody explained why.,billing
CUST-00196,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00197,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00198,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00199,"Great experience overall, keep up the good work.",satisfied
CUST-00200,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00201,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00202,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00203,"Great experience overall, keep up the good work.",satisfied
CUST-00204,"Everything works great, no complaints at all this month.",satisfied
CUST-00205,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00206,"Everything works great, no complaints at all this month.",satisfied
CUST-00207,The billing department never resolves my disputes.,billing
CUST-00208,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00209,My bill keeps increasing every month for no clear reason.,billing
CUST-00210,"Great experience overall, keep up the good work.",satisfied
CUST-00211,Call quality has been terrible the past few weeks.,service_quality
CUST-00212,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00213,"Everything works great, no complaints at all this month.",satisfied
CUST-00214,"Everything works great, no complaints at all this month.",satisfied
CUST-00215,"Everything works great, no complaints at all this month.",satisfied
CUST-00216,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00217,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00218,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00219,"Great experience overall, keep up the good work.",satisfied
CUST-00220,Call quality has been terrible the past few weeks.,service_quality
CUST-00221,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00222,My bill keeps increasing every month for no clear reason.,billing
CUST-00223,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00224,I was overcharged again this month and nobody explained why.,billing
CUST-00225,"Everything works great, no complaints at all this month.",satisfied
CUST-00226,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00227,"Great experience overall, keep up the good work.",satisfied
CUST-00228,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00229,I was overcharged again this month and nobody explained why.,billing
CUST-00230,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00231,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00232,"Great experience overall, keep up the good work.",satisfied
CUST-00233,"Everything works great, no complaints at all this month.",satisfied
CUST-00234,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00235,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00236,"Great experience overall, keep up the good work.",satisfied
CUST-00237,Technician never showed up for the scheduled appointment.,service_quality
CUST-00238,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00239,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00240,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00241,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00242,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00243,"Great experience overall, keep up the good work.",satisfied
CUST-00244,"Everything works great, no complaints at all this month.",satisfied
CUST-00245,"Great experience overall, keep up the good work.",satisfied
CUST-00246,Technician never showed up for the scheduled appointment.,service_quality
CUST-00247,Technician never showed up for the scheduled appointment.,service_quality
CUST-00248,"Everything works great, no complaints at all this month.",satisfied
CUST-00249,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00250,My bill keeps increasing every month for no clear reason.,billing
CUST-00251,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00252,Call quality has been terrible the past few weeks.,service_quality
CUST-00253,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00254,I was overcharged again this month and nobody explained why.,billing
CUST-00255,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00256,"Great experience overall, keep up the good work.",satisfied
CUST-00257,Technician never showed up for the scheduled appointment.,service_quality
CUST-00258,Technician never showed up for the scheduled appointment.,service_quality
CUST-00259,The billing department never resolves my disputes.,billing
CUST-00260,"Great experience overall, keep up the good work.",satisfied
CUST-00261,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00262,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00263,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00264,The billing department never resolves my disputes.,billing
CUST-00265,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00266,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00267,"Great experience overall, keep up the good work.",satisfied
CUST-00268,"Everything works great, no complaints at all this month.",satisfied
CUST-00269,"Great experience overall, keep up the good work.",satisfied
CUST-00270,Technician never showed up for the scheduled appointment.,service_quality
CUST-00271,The internet keeps disconnecting several times a day.,service_quality
CUST-00272,"Great experience overall, keep up the good work.",satisfied
CUST-00273,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00274,The internet keeps disconnecting several times a day.,service_quality
CUST-00275,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00276,"Everything works great, no complaints at all this month.",satisfied
CUST-00277,"Everything works great, no complaints at all this month.",satisfied
CUST-00278,I was overcharged again this month and nobody explained why.,billing
CUST-00279,My bill keeps increasing every month for no clear reason.,billing
CUST-00280,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00281,Call quality has been terrible the past few weeks.,service_quality
CUST-00282,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00283,Call quality has been terrible the past few weeks.,service_quality
CUST-00284,Technician never showed up for the scheduled appointment.,service_quality
CUST-00285,I was overcharged again this month and nobody explained why.,billing
CUST-00286,"Great experience overall, keep up the good work.",satisfied
CUST-00287,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00288,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00289,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00290,Technician never showed up for the scheduled appointment.,service_quality
CUST-00291,The internet keeps disconnecting several times a day.,service_quality
CUST-00292,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00293,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00294,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00295,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00296,"Great experience overall, keep up the good work.",satisfied
CUST-00297,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00298,I was overcharged again this month and nobody explained why.,billing
CUST-00299,The billing department never resolves my disputes.,billing
CUST-00300,I was overcharged again this month and nobody explained why.,billing
CUST-00301,"Great experience overall, keep up the good work.",satisfied
CUST-00302,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00303,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00304,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00305,The internet keeps disconnecting several times a day.,service_quality
CUST-00306,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00307,"Great experience overall, keep up the good work.",satisfied
CUST-00308,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00309,The billing department never resolves my disputes.,billing
CUST-00310,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00311,Technician never showed up for the scheduled appointment.,service_quality
CUST-00312,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00313,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00314,I was overcharged again this month and nobody explained why.,billing
CUST-00315,My bill keeps increasing every month for no clear reason.,billing
CUST-00316,Technician never showed up for the scheduled appointment.,service_quality
CUST-00317,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00318,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00319,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00320,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00321,The internet keeps disconnecting several times a day.,service_quality
CUST-00322,Call quality has been terrible the past few weeks.,service_quality
CUST-00323,"Great experience overall, keep up the good work.",satisfied
CUST-00324,Call quality has been terrible the past few weeks.,service_quality
CUST-00325,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00326,"Everything works great, no complaints at all this month.",satisfied
CUST-00327,The internet keeps disconnecting several times a day.,service_quality
CUST-00328,My bill keeps increasing every month for no clear reason.,billing
CUST-00329,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00330,The billing department never resolves my disputes.,billing
CUST-00331,Technician never showed up for the scheduled appointment.,service_quality
CUST-00332,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00333,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00334,My bill keeps increasing every month for no clear reason.,billing
CUST-00335,Call quality has been terrible the past few weeks.,service_quality
CUST-00336,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00337,Call quality has been terrible the past few weeks.,service_quality
CUST-00338,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00339,"Great experience overall, keep up the good work.",satisfied
CUST-00340,The internet keeps disconnecting several times a day.,service_quality
CUST-00341,The internet keeps disconnecting several times a day.,service_quality
CUST-00342,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00343,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00344,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00345,"Great experience overall, keep up the good work.",satisfied
CUST-00346,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00347,"Everything works great, no complaints at all this month.",satisfied
CUST-00348,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00349,I was overcharged again this month and nobody explained why.,billing
CUST-00350,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00351,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00352,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00353,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00354,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00355,Call quality has been terrible the past few weeks.,service_quality
CUST-00356,I was overcharged again this month and nobody explained why.,billing
CUST-00357,My bill keeps increasing every month for no clear reason.,billing
CUST-00358,"Everything works great, no complaints at all this month.",satisfied
CUST-00359,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00360,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00361,"Great experience overall, keep up the good work.",satisfied
CUST-00362,"Everything works great, no complaints at all this month.",satisfied
CUST-00363,Technician never showed up for the scheduled appointment.,service_quality
CUST-00364,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00365,The billing department never resolves my disputes.,billing
CUST-00366,I was overcharged again this month and nobody explained why.,billing
CUST-00367,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00368,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00369,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00370,Technician never showed up for the scheduled appointment.,service_quality
CUST-00371,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00372,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00373,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00374,Technician never showed up for the scheduled appointment.,service_quality
CUST-00375,The billing department never resolves my disputes.,billing
CUST-00376,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00377,The billing department never resolves my disputes.,billing
CUST-00378,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00379,Technician never showed up for the scheduled appointment.,service_quality
CUST-00380,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00381,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00382,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00383,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00384,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00385,I was overcharged again this month and nobody explained why.,billing
CUST-00386,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00387,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00388,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00389,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00390,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00391,Technician never showed up for the scheduled appointment.,service_quality
CUST-00392,"Everything works great, no complaints at all this month.",satisfied
CUST-00393,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00394,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00395,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00396,The internet keeps disconnecting several times a day.,service_quality
CUST-00397,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00398,"Everything works great, no complaints at all this month.",satisfied
CUST-00399,"Everything works great, no complaints at all this month.",satisfied
CUST-00400,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00401,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00402,The billing department never resolves my disputes.,billing
CUST-00403,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00404,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00405,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00406,I was overcharged again this month and nobody explained why.,billing
CUST-00407,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00408,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00409,"Everything works great, no complaints at all this month.",satisfied
CUST-00410,"Great experience overall, keep up the good work.",satisfied
CUST-00411,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00412,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00413,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00414,"Great experience overall, keep up the good work.",satisfied
CUST-00415,"Great experience overall, keep up the good work.",satisfied
CUST-00416,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00417,"Everything works great, no complaints at all this month.",satisfied
CUST-00418,"Great experience overall, keep up the good work.",satisfied
CUST-00419,"Everything works great, no complaints at all this month.",satisfied
CUST-00420,"Great experience overall, keep up the good work.",satisfied
CUST-00421,The billing department never resolves my disputes.,billing
CUST-00422,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00423,My bill keeps increasing every month for no clear reason.,billing
CUST-00424,"Great experience overall, keep up the good work.",satisfied
CUST-00425,"Great experience overall, keep up the good work.",satisfied
CUST-00426,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00427,My bill keeps increasing every month for no clear reason.,billing
CUST-00428,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00429,The billing department never resolves my disputes.,billing
CUST-00430,"Everything works great, no complaints at all this month.",satisfied
CUST-00431,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00432,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00433,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00434,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00435,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00436,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00437,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00438,Technician never showed up for the scheduled appointment.,service_quality
CUST-00439,"Everything works great, no complaints at all this month.",satisfied
CUST-00440,"Great experience overall, keep up the good work.",satisfied
CUST-00441,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00442,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00443,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00444,I was overcharged again this month and nobody explained why.,billing
CUST-00445,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00446,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00447,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00448,I was overcharged again this month and nobody explained why.,billing
CUST-00449,"Everything works great, no complaints at all this month.",satisfied
CUST-00450,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00451,Call quality has been terrible the past few weeks.,service_quality
CUST-00452,"Great experience overall, keep up the good work.",satisfied
CUST-00453,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00454,Call quality has been terrible the past few weeks.,service_quality
CUST-00455,"Great experience overall, keep up the good work.",satisfied
CUST-00456,Technician never showed up for the scheduled appointment.,service_quality
CUST-00457,"Great experience overall, keep up the good work.",satisfied
CUST-00458,Customer support took forever to answer and didn't help at all.,service_quality
